INPUTS:
    Title = Sample 14-element array!
    Theta = 35.0
    Phi = 50.0
    Frequency = 100.0
    Sound Speed = 5000.0
    Rzero = 0.0
    Number of elements = 14
    X           Y           Z        SHADING
    0.0    ,    0.0    ,    0.0   ,    1.0
    25.0    ,    0.0    ,    0.0   ,    1.0
    50.0    ,    0.0    ,    0.0   ,    1.0
    75.0    ,    0.0    ,    0.0   ,    1.0
    100.0    ,    0.0    ,    0.0   ,    1.0
    125.0    ,    0.0    ,    0.0   ,    1.0
    150.0    ,    0.0    ,    0.0   ,    1.0
    175.0    ,    0.0    ,    0.0   ,    1.0
    200.0    ,    0.0    ,    0.0   ,    1.0
    225.0    ,    0.0    ,    0.0   ,    1.0
    250.0    ,    0.0    ,    0.0   ,    1.0
    275.0    ,    0.0    ,    0.0   ,    1.0
    300.0    ,    0.0    ,    0.0   ,    1.0
    325.0    ,    0.0    ,    0.0   ,    1.0
OUTPUTS:
    Wavelength = 50.0
    BEAM PATTERN
    THETA     LEVEL
    -90.0   ,    -34.97321233152206
    -89.0   ,    -35.046082408553936
    -88.0   ,    -35.268654645840456
    -87.0   ,    -35.65351578423487
    -86.0   ,    -36.22427056209068
    -85.0   ,    -37.02068961565225
    -84.0   ,    -38.109377578154884
    -83.0   ,    -39.607466766431585
    -82.0   ,    -41.74322754379646
    -81.0   ,    -45.05335626885332
    -80.0   ,    -51.41953680835445
    -79.0   ,    -65.59238291193911
    -78.0   ,    -47.88001320717042
    -77.0   ,    -42.11685597563583
    -76.0   ,    -38.4806955019695
    -75.0   ,    -35.78947131022341
    -74.0   ,    -33.64388266413346
    -73.0   ,    -31.860601704627463
    -72.0   ,    -30.34074506296338
    -71.0   ,    -29.02547394472389
    -70.0   ,    -27.87751371716162
    -69.0   ,    -26.872335491743513
    -68.0   ,    -25.993526641535233
    -67.0   ,    -25.230191133261403
    -66.0   ,    -24.575425333199945
    -65.0   ,    -24.025411308169843
    -64.0   ,    -23.578896104983386
    -63.0   ,    -23.23693941320201
    -62.0   ,    -23.002876840788414
    -61.0   ,    -22.882490983562786
    -60.0   ,    -22.884424581241905
    -59.0   ,    -23.020924711199292
    -58.0   ,    -23.309097009697652
    -57.0   ,    -23.773020453320505
    -56.0   ,    -24.447435491062286
    -55.0   ,    -25.38456192201754
    -54.0   ,    -26.667805005558055
    -53.0   ,    -28.442776983859456
    -52.0   ,    -31.000984068298685
    -51.0   ,    -35.08185958399334
    -50.0   ,    -43.95070503841348
    -49.0   ,    -45.387025787414764
    -48.0   ,    -35.25865042645097
    -47.0   ,    -30.760433167272442
    -46.0   ,    -27.925780813847002
    -45.0   ,    -25.946946268719095
    -44.0   ,    -24.522622657840685
    -43.0   ,    -23.512533310066093
    -42.0   ,    -22.845870231835214
    -41.0   ,    -22.489093713307984
    -40.0   ,    -22.433543138151087
    -39.0   ,    -22.69209836941791
    -38.0   ,    -23.30245254897823
    -37.0   ,    -24.33933292993725
    -36.0   ,    -25.94616330761073
    -35.0   ,    -28.4246130345142
    -34.0   ,    -32.569383375570474
    -33.0   ,    -42.17151039254383
    -32.0   ,    -41.22487482921353
    -31.0   ,    -31.971965383127724
    -30.0   ,    -27.74124870855629
    -29.0   ,    -25.135019671809914
    -28.0   ,    -23.412024052701607
    -27.0   ,    -22.295531415490945
    -26.0   ,    -21.663992467189285
    -25.0   ,    -21.469037148297826
    -24.0   ,    -21.7104498212392
    -23.0   ,    -22.435304137980907
    -22.0   ,    -23.76024982109164
    -21.0   ,    -25.9453028614373
    -20.0   ,    -29.664001972579655
    -19.0   ,    -37.74122083156917
    -18.0   ,    -41.63312145027481
    -17.0   ,    -30.519080687366582
    -16.0   ,    -25.959726485579242
    -15.0   ,    -23.251002601673648
    -14.0   ,    -21.522099864706195
    -13.0   ,    -20.46576655383077
    -12.0   ,    -19.955362545174726
    -11.0   ,    -19.951015410305967
    -10.0   ,    -20.476441787347266
    -9.0   ,    -21.631662296843185
    -8.0   ,    -23.659666857385208
    -7.0   ,    -27.19932072920746
    -6.0   ,    -34.861540815635
    -5.0   ,    -40.184224314140664
    -4.0   ,    -28.321625271915046
    -3.0   ,    -23.612981237264673
    -2.0   ,    -20.82870244413543
    -1.0   ,    -19.053720715437123
    0.0   ,    -17.97005306877291
    1.0   ,    -17.448632893268098
    2.0   ,    -17.451727439191636
    3.0   ,    -18.010848722854742
    4.0   ,    -19.245620341060093
    5.0   ,    -21.45268932268155
    6.0   ,    -25.469355934891738
    7.0   ,    -35.644748654497356
    8.0   ,    -32.429894636319084
    9.0   ,    -23.62548614450823
    10.0   ,    -19.40482756539271
    11.0   ,    -16.763645004111638
    12.0   ,    -15.008131310479428
    13.0   ,    -13.876928339428037
    14.0   ,    -13.25963403838372
    15.0   ,    -13.12325903466086
    16.0   ,    -13.495636651388358
    17.0   ,    -14.482383383004471
    18.0   ,    -16.341628470701117
    19.0   ,    -19.771594293867754
    20.0   ,    -27.859920596803917
    21.0   ,    -29.654350016885502
    22.0   ,    -18.736205849576336
    23.0   ,    -13.735944537686965
    24.0   ,    -10.440565925273345
    25.0   ,    -8.006404168781307
    26.0   ,    -6.112493240698488
    27.0   ,    -4.601093578547758
    28.0   ,    -3.3825427405785824
    29.0   ,    -2.400832642217763
    30.0   ,    -1.6186205255087887
    31.0   ,    -1.0098341981180854
    32.0   ,    -0.5556816836856561
    33.0   ,    -0.24235125997804427
    34.0   ,    -0.05962195457475211
    35.0   ,    0.0
    36.0   ,    -0.058180341352328316
    37.0   ,    -0.23072474487675546
    38.0   ,    -0.5158987538036264
